정류장번호,정류장명,위도,경도,Within 1km
CAB285001587,구성5통,36.79237965,127.1734857,Yes
CAB285001588,신성미소지움아파트,36.79281465,127.1648808,Yes
CAB285001589,삼룡교,36.7978865,127.1594619,Yes
CAB285001746,구성5통,36.79231923,127.1735469,Yes
CAB285001812,청수극동2차아파트,36.79006453,127.154795,Yes
CAB285001813,공립지역아동센터,36.79575872,127.1581978,Yes
CAB285000736,원삼거리,36.7828663,127.1655307,Yes
CAB285000737,천안동중학교,36.78786298,127.1656891,Yes
CAB285000738,천안동중학교,36.78778703,127.1660115,Yes
CAB285000739,천안삼거리공원,36.7842081,127.1691222,Yes
CAB285000740,천안삼거리공원,36.78402463,127.1697274,Yes
CAB285000747,신성미소지움아파트,36.79226235,127.1645478,Yes
CAB285000749,삼룡교,36.7978992,127.1591872,Yes
CAB285000750,원삼거리,36.7836693,127.1650659,Yes
CAB285000753,청수극동2차아파트,36.7893504,127.1544843,Yes
CAB285000754,청수LG SK아파트,36.7913365,127.1560667,Yes
CAB285000755,청수극동1차아파트,36.79156779,127.1559119,Yes
CAB285000756,공립지역아동센터,36.7958596,127.1583892,Yes
CAB285000775,구성초등학교,36.79378962,127.1603407,Yes
CAB285000776,구성초등학교,36.79359597,127.1603211,Yes
CAB285000777,구성신성아파트,36.79132701,127.1624531,Yes
CAB285000778,구성신성아파트,36.7916663,127.1625191,Yes
CAB285071403,천안변전소,36.79114,127.1674356,Yes
CAB285001950,천안박물관,36.7863024,127.1648077,Yes
CAB285001951,천안박물관,36.7869163,127.1650874,Yes
CAB285001036,충무로사거리,36.79862631,127.1606308,Yes
CAB285010003,청수극동2차아파트,36.78931001,127.1555958,Yes
CAB285001971,청룡동행정복지센터,36.78585295,127.1569741,Yes
CAB285001972,청룡동행정복지센터,36.78572841,127.1570883,Yes
CAB285001991,홈플러스,36.79891657,127.1637981,Yes
CAB285001992,홈플러스,36.79874294,127.1634124,Yes
CAB285002038,산운마을,36.78909297,127.1586074,Yes
CAB285002039,산운마을,36.7892013,127.1587391,Yes
CAB285002040,청수고등학교,36.79047961,127.1594857,Yes
CAB285002041,청수고등학교,36.78999133,127.1589591,Yes
CAB285002042,중흥S클래스,36.7865721,127.1585101,Yes
CAB285002043,중흥S클래스,36.78646312,127.1586448,Yes
CAB285010005,동남경찰서,36.78780462,127.1566991,Yes
CAB285010006,동남경찰서,36.78730629,127.1567341,Yes
CAB285010013,천안변전소,36.79139628,127.1677957,Yes
CAB285071663,천안시종합사회복지관,36.781347,127.16339,Yes
CAB285071666,구성동중앙신협,36.7968004,127.1595407,Yes
CAB285002104,청삼교차로,36.7818673,127.1632614,Yes
GGB277101007,천안휴게소(경유),36.7874833,127.1727667,Yes
