구분,주차장명,주소,총면수,장애인전용,임산부용,경차전용,전기차충전,사용제한,위도,경도
유료,불당 제1공영주차장,충청남도 천안시 서북구 검은들 1길 15,144,4,0,4,0,8,36.8111909,127.1095158
유료,불당 제5공영주차장,충청남도 천안시 서북구 불당동 1543,130,8,2,10,0,0,36.8083197,127.106278
유료,불당 제2공영주차장,충청남도 천안시 서북구 불당동 735,49,2,0,0,0,0,36.8102257,127.1107093
유료,쌍용 제1공영주차장,충청남도 천안시 서북구 미라3길 16,111,3,0,7,1,1,36.8010241,127.1309651
유료,두정 제1공영주차장,천안시 서북구 두정동 1366,18,1,0,0,0,0,36.830905,127.1390619
유료,두정역 제1공영주차장,천안시 서북구 두정동 91-1,42,2,0,1,2,0,36.8319609,127.1504253
유료,신부 제1공영주차장,충청남도 천안시 동남구 터미널8길 7,38,1,0,1,0,0,36.8222344,127.1579813
유료,신부 제4공영주차장,충청남도 천안시 동남구 먹거리9길 16,13,1,0,0,0,0,36.8174736,127.1555766
유료,대흥로 제1노상주차장,충청남도 천안시 동남구 대흥로 194,56,0,0,0,0,0,36.8053229,127.146933
유료,대흥 제1공영주차장,천안시 동남구 대흥로 205,25,1,1,3,0,0,36.8064802,127.1468451
유료,명동 공영주차장,천안시 동남구 명동길 36,77,4,3,25,0,0,36.8058927,127.1482445
유료,노태공원 공영주차장,천안시 서북구 노태산로 131,98,5,0,13,5,0,36.838278,127.128289
무료,광덕 제1공영주차장,천안시 동남구 광덕면·리 403-9,424,11,0,0,2,0,36.674485,127.053144
무료,광덕 제2공영주차장,천안시 동남구 광덕면·리 560-2,151,5,0,0,0,0,36.672505,127.045962
무료,구성 제1공영주차장,천안시 동남구 구성동 531,18,0,0,0,0,0,36.796526,127.157097
무료,목천 제1공영주차장,"천안시 동남구 목천면 운전리 503,506",486,10,0,0,0,0,36.762036,127.227601
무료,목천 제2공영주차장,천안시 동남구 목천면 서흥리 124-1,25,0,0,0,0,0,36.806065,127.238488
무료,병천 제1공영주차장,천안시 동남구 병천면·리 211-1,114,6,0,19,1,0,36.759512,127.298486
무료,봉명 제1공영주차장,천안시 동남구 봉명동 10-2,100,1,0,0,0,0,36.803699,127.141079
무료,봉명 제2공영주차장,천안시 동남구 봉명동 20-27,21,1,0,0,0,0,36.802751,127.138902
무료,북면 제1공영주차장,천안시 동남구 북면 은지리 101,23,1,0,0,0,0,36.777899,127.268718
무료,북면 제2공영주차장,천안시 동남구 북면 은지리 45-1,13,1,0,0,0,0,36.778608,127.271976
무료,불당 제3공영주차장,천안시 서북구 불당동 910,57,2,0,6,2,0,36.805204,127.108095
무료,불당 제4공영주차장,천안시 서북구 불당동 970,28,1,0,0,0,0,36.803762,127.108532
무료,사직 제1공영주차장,천안시 동남구 사직동 287-5,57,2,0,0,0,0,36.798277,127.148763
무료,성거 제1공영주차장,천안시 서북구 성거읍 천흥리 430-5,47,1,0,2,0,0,36.872552,127.201385
무료,성거 제2공영주차장,천안시 서북구 성거읍 저리 54-3,25,1,0,0,0,0,36.873908,127.201433
무료,성성 제1공영주차장,천안시 서북구 성성동 511-9,86,0,0,0,0,0,36.838609,127.116717
무료,성정 제1공영주차장,천안시 서북구 성정동 175-1,12,0,0,0,0,0,36.812871,127.145689
무료,성정 제2공영주차장,천안시 서북구 성정동 438-3,69,4,0,0,2,0,36.825202,127.135348
무료,성정 제3공영주차장,천안시 성정동 602-35,27,1,0,0,0,0,36.814804,127.142416
무료,성환 제1공영주차장,천안시 서북구 성환읍·리 357-10,24,1,0,1,0,0,36.916227,127.131052
무료,신방 제1공영주차장,천안시 동남구 신방동 1901,49,2,0,0,0,1,36.773007,127.132113
무료,신부 제2공영주차장,천안시 동남구 신부동 77-26,12,0,0,0,0,0,36.814005,127.160149
무료,신부 제3공영주차장,천안시 동남구 신부동 331-43,13,0,0,0,0,0,36.820381,127.153829
무료,쌍용 제2공영주차장,천안시 서북구 쌍용동 655,70,2,0,0,0,0,36.797959,127.122546
무료,쌍용 제3공영주차장,천안시 서북구 쌍용동 1299,13,0,0,0,0,0,36.800345,127.125688
무료,쌍용 제4공영주차장,천안시 서북구 쌍용동 2074,44,1,0,2,0,0,36.787632,127.114287
무료,쌍용 제5공영주차장,천안시 서북구 쌍용동 2114,19,1,0,0,0,0,36.807032,127.117955
무료,쌍용 제6공영주차장,천안시 서북구 쌍용동 1566,52,3,0,0,0,0,36.792495,127.118594
무료,쌍용 제7공영주차장,천안시 서북구 쌍용동 1564,19,1,0,0,0,0,36.792559,127.117988
무료,쌍용역 제1공영주차장,"천안시 서북구 쌍용동 409-2, 410-2",54,2,0,0,0,0,36.794407,127.122591
무료,안서 제1공영주차장,천안시 동남구 안서동 526-39,121,5,0,0,2,0,36.837569,127.173361
무료,청당 제2공영주차장,천안시 동남구 청당동 567,17,1,0,0,0,0,36.785089,127.157399
무료,대흥로 제2노상주차장,충청남도 천안시 동남구 사직동 321-4,28,0,0,0,0,0,36.803019,127.146164
무료,버들로 제1노상주차장,천안시 동남구 원성동 612,45,0,0,0,0,0,36.806316,127.160514
무료,성정로 제1노상주차장,천안시 서북구 성정동 751,27,0,0,0,0,0,36.813768,127.138063
무료,성황로 제2노상주차장,천안시 동남구 원성동 610,50,0,0,0,0,0,36.811504,127.162437
무료,성황로 제3노상주차장,천안시 동남구 원성동 224-3,22,0,0,0,0,0,36.812431,127.161399
무료,신용로 제1노상주차장,충청남도 천안시 동남구 다가동 478,95,0,0,0,0,0,36.801306,127.140675
무료,쌍용대로 제1노상주차장,천안시 서북구 성정동 413-14,43,1,0,0,0,0,36.824614,127.137011
무료,중앙로 제1노상주차장,천안시 동남구 영성동 129,18,0,0,0,0,0,36.802088,127.153013
무료,차돌로 제1노상주차장,충청남도 천안시 동남구 다가동 471,64,2,0,0,0,0,36.802107,127.138816
무료,천안축구센터 주차장,천안시 서북구 축구센터로 150,358,16,2,0,0,0,36.8217,127.1476
무료,천안실내배드민턴장 주차장,천안시 동남구 천안대로 357,31,2,0,0,0,0,36.7794,127.1647
무료,종합운동장,충청남도 천안시 서북구 번영로208,"1,430",63,0,5,2,0,36.818921,127.115092
